id,reviser
interview_0861_001,State Office
interview_0862_001,State Office
interview_0863_001,State Office
interview_0864_001,State Office
interview_0865_001,State Office
interview_0866_001,State Office
interview_0867_001,State Office
interview_0869_001,State Office
interview_0870_001,State Office
interview_0871_001,State Office
interview_0873_001,State Office
interview_0874_001,State Office
interview_0875_001,State Office
interview_0877_001,State Office
interview_0880_001,State Office
interview_0889_001,Chalmers S. Murray
interview_0889_001,State Office
interview_0890_001,Chalmers S. Murray
interview_0890_001,State Office
interview_0893_001,State Office
interview_0895_001,State Office
interview_0896_001,State Office
interview_0897_001,State Office
interview_0898_001,State Office
interview_0899_001,Helen Shuler
interview_0900_001,E. Fronde Kennedy
interview_0902_001,Elmer Turnage
interview_0903_001,State Office
interview_0904_001,Elmer Turnage
interview_0905_001,State Office
interview_0906_001,Columbia Office
interview_0909_001,State Office
interview_0910_001,State Office
interview_0911_001,State Office
interview_0912_001,State Office
interview_0913_001,State Office
interview_0914_001,State Office
interview_0915_001,State Office
interview_0916_001,State Office
interview_0918_001,State Office
interview_0919_001,J. J. Murray
interview_0933_001,James Aswell
interview_0935_001,James Aswell
interview_0936_001,Jeannette Edwards
interview_0938_001,James Aswell
interview_0940_001,James Aswell
interview_0940_001,Jeannette Edwards
interview_0941_001,James Aswell
interview_0943_001,James Aswell
interview_0943_001,Lena E. Lipscomb
interview_0947_001,Jeannette Edwards
interview_0948_001,James Aswell
interview_0948_001,Lena E. Lipscomb
interview_0949_001,James Aswell
interview_0949_001,Lena E. Lipscomb
interview_0950_001,James Aswell
interview_0950_001,Lena E. Lipscomb
interview_0951_001,James Aswell
interview_0951_001,Lena E. Lipscomb
interview_0954_001,James Aswell
interview_0954_001,Jeannette Edwards
interview_0957_001,James Aswell
interview_0957_001,Lena E. Lipscomb
interview_0958_001,James Aswell
interview_0959_001,James Aswell
interview_0959_001,Jeannette Edwards
interview_0960_001,James Aswell
interview_0960_001,Lena E. Lipscomb
interview_0962_001,James Aswell
interview_0963_001,James Aswell
interview_0964_001,James Aswell
interview_0965_001,James Aswell
interview_0965_001,Jeannette Edwards
interview_0966_001,James Aswell
interview_0966_001,Jeannette Edwards
interview_0969_001,James Aswell
interview_0971_001,James Aswell
interview_0971_001,Lena E. Lipscomb
interview_0972_001,James Aswell
interview_0973_001,James Aswell
interview_0974_001,James Aswell
interview_0975_001,James Aswell
interview_0975_001,L. Agee
interview_0975_001,Lena E. Lipscomb
interview_0976_001,James Aswell
interview_0977_001,James Aswell
interview_0977_001,Lena E. Lipscomb
interview_0978_001,James Aswell
interview_0979_001,James Aswell
interview_0979_001,Jeannette Edwards
interview_0980_001,James Aswell
interview_0980_001,Lena E. Lipscomb
interview_0981_001,Jeannette Edwards
interview_0982_001,Jeannette Edwards
interview_0983_001,James Aswell
interview_0984_001,James Aswell
interview_0985_001,Jeannette Edwards
interview_0986_001,Anne Heaton
interview_0987_001,Anne Heaton
interview_0988_001,Anne Heaton
interview_0989_001,Edna Stevens
interview_0990_001,Anne Heaton
interview_0991_001,Carlton Collins
interview_0991_001,Eudora Ramsay Richardson
interview_1009_001,Mabel B. Francis
interview_1009_014,Mabel B. Francis
interview_1009_020,Mabel B. Francis
interview_1010_001,Mabel B. Francis
interview_1011_001,Mabel B. Francis
interview_1011_010,Mabel B. Francis
interview_1011_017,Mabel B. Francis
interview_1012_001,Mabel B. Francis
interview_1012_012,Mabel B. Francis
interview_1012_022,Mabel B. Francis
interview_1012_031,Mabel B. Francis
interview_1015_008,Mabel B. Francis
interview_1016_008,F. Hilton Crowe
interview_1031_031,Mary Northrop
interview_1031_047,Dudley W. Crawford
interview_1031_051,Dudley W. Crawford
interview_1031_054,Dudley W. Crawford
interview_1031_056,Dudley W. Crawford
interview_1031_059,Dudley W. Crawford
interview_1031_062,Dudley W. Crawford
interview_1034_015,Edwin Massengill
interview_1034_020,Edwin Massengill
interview_1036_001,State Office
interview_1036_012,State Office
interview_1036_018,State Office
interview_1036_028,State Office
interview_1037_001,State Office
interview_1037_015,State Office
interview_1038_049,State Office
interview_1039_009,State Office
interview_1040_001,State Office
interview_1040_011,State Office
interview_1040_022,State Office
interview_1040_031,State Office
interview_1040_042,State Office
interview_1040_052,State Office
interview_1040_069,State Office
interview_1042_001,State Office
interview_1043_001,State Office
interview_1043_015,State Office
interview_1043_025,State Office
interview_1044_001,Regional Office
interview_1044_018,State Office
interview_1044_030,State Office
interview_1044_038,State Office
interview_1044_057,State Office
interview_1044_072,State Office
interview_1044_083,State Office
interview_1046_001,Charleston Office
interview_1046_010,State Office
interview_1046_022,State Office
interview_1046_039,State Office
interview_1047_001,State Office
interview_1047_023,State Office
interview_1048_001,State Office
interview_1048_009,State Office
interview_1048_016,State Office
interview_1048_028,State Office
interview_1049_007,State Office
interview_1049_019,State Office
interview_1049_027,State Office
interview_1049_033,State Office
interview_1050_001,E. Fronde Kennedy
interview_1050_017,J. J. Murray
interview_1052_001,State Office
interview_1052_007,State Office
interview_1052_014,State Office
